City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-2.55,92,96,6.07,GS,1690297210
1,yellowknife,62.456,-114.3525,20.31,60,100,6.17,CA,1690297210
2,karak city,31.1637,35.762,32.3,22,0,4.77,JO,1690297211
3,longyearbyen,78.2186,15.6401,11.91,66,40,2.57,SJ,1690297211
4,vorgashor,67.5833,63.95,18.26,80,100,3.3,RU,1690297212
5,pandan,14.0453,124.1694,28.67,81,100,11.77,PH,1690297212
6,kostomuksha,64.571,30.5767,12.3,96,100,1.09,RU,1690297213
7,punta arenas,-53.15,-70.9167,-3.27,92,14,4.23,CL,1690297213
8,adamstown,-25.066,-130.1015,22.07,88,79,13.62,PN,1690297217
9,bilibino,68.0546,166.4372,11.41,97,100,0.61,RU,1690297220
10,tolanaro,-25.0319,46.9987,20.04,88,40,6.17,MG,1690297225
11,lerwick,60.1545,-1.1494,11.0,77,100,7.81,GB,1690297229
12,waitangi,-43.9535,-176.5597,10.46,98,100,3.58,NZ,1690297233
13,port elizabeth,-33.918,25.5701,18.16,55,0,4.12,ZA,1690297206
14,francistown,-21.17,27.5079,20.1,47,74,7.93,BW,1690297234
15,wildwood,38.5828,-90.6629,31.34,72,0,0.0,US,1690297096
16,saint-pierre,-21.3393,55.4781,23.82,78,75,2.57,RE,1690297235
17,aasiaat,68.7098,-52.8699,2.31,96,93,2.64,GL,1690297236
18,hawaiian paradise park,19.5933,-154.9731,22.24,99,100,1.41,US,1690297237
19,kodiak,57.79,-152.4072,9.88,93,90,2.42,US,1690297237
20,sao vicente,-23.9631,-46.3919,29.59,47,0,2.57,BR,1690297238
21,leava,-14.3,-178.1667,26.32,77,91,7.55,WF,1690297238
22,belsize park,51.5477,-0.1723,20.41,50,75,6.17,GB,1690297238
23,hamilton,39.1834,-84.5333,27.63,78,1,0.45,US,1690297239
24,ath thawrah,35.8469,38.5443,38.51,17,0,7.05,SY,1690297239
25,solvang,34.5958,-120.1377,30.95,82,0,0.0,US,1690297239
26,ushuaia,-54.8,-68.3,-2.19,74,0,3.09,AR,1690297239
27,jeju city,33.5097,126.5219,26.96,83,75,1.54,KR,1690297241
28,port-vila,-17.7338,168.3219,19.78,94,100,2.06,VU,1690297242
29,ribeira grande,38.5167,-28.7,24.87,69,40,4.12,PT,1690297243
30,meadow lakes,61.6247,-149.6011,14.3,85,100,0.0,US,1690297243
31,mutare,-18.9707,32.6709,19.6,45,2,4.5,ZW,1690297243
32,crane,31.3974,-102.3501,29.87,46,2,5.56,US,1690297243
33,pont rouge,48.8833,-72.0825,21.16,79,54,3.13,CA,1690297244
34,iskateley,67.6803,53.1512,19.51,62,100,3.51,RU,1690297244
35,villamontes,-21.25,-63.5,14.69,58,100,0.0,BO,1690297244
36,zuni pueblo,35.0725,-108.8506,25.82,31,3,1.14,US,1690297245
37,mount pearl,47.5166,-52.7813,26.92,69,75,6.69,CA,1690297245
38,edinburgh of the seven seas,-37.0676,-12.3116,12.45,78,100,11.83,SH,1690297245
39,tiksi,71.6872,128.8694,3.3,85,64,2.33,RU,1690297246
40,tura,25.5198,90.2201,25.44,84,81,2.08,IN,1690297246
41,deschutes river woods,43.9915,-121.3584,16.49,67,0,1.54,US,1690297246
42,avarua,-21.2078,-159.775,22.03,68,100,1.54,CK,1690297247
43,whitehorse,60.7161,-135.0538,13.43,86,100,2.57,CA,1690297247
